STUDY (ASN),PRIOR ASN,STATUS,DETERMINATION,ENTERED DATE,RECEIVED DATE,COMPLETION DATE,EXPIRATION DATE,LATITUDE,LONGITUDE,SURVEY_ACCURACY,MARKING LIGHTING TYPE,MARKING LIGHTING TYPE OTHER,STRUCTURE NAME,STRUCTURE CITY,STRUCTURE COUNTY NAME,STRUCTURE COUNTY ID,STRUCTURE STATE,NEAREST AIRPORT,DISTANCE FROM AIRPORT,DIRECTION FROM AIRPORT,ON AIRPORT,PROPOSAL DESCRIPTION,LOCATION DESCRIPTION,NOTICE OF,DURATION,DURATION DAYS,DURATION MONTHS,WORK SCHEDULE BEGINNING DATE,WORK SCHEDULE ENDING DATE,DATE BUILT,FCC NUMBER,STRUCTURE TYPE,AGL HEIGHT DET,AGL HEIGHT DNE,AGL HEIGHT PROPOSED,ELEVATION,AMSL HEIGHT DET,AMSL HEIGHT DNE,AMSL HEIGHT PROPOSED,"REPRESENTATIVE NAME ","SPONSOR NAME ","SIGNATURE CONTROL NUMBER ","FREQUENCY_JSON "
2025-AGL-1-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.973725,-87.89616667,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A&amp;amp;amp;B Rehabilitation\r\n25&amp;amp;apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,651,,,676,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-2-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.97434722,-87.89575556,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A & B Rehabilitation\r\n25&amp;apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,651,,,676,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-3-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.97548056,-87.89576944,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A&amp;amp;B Rehabilitation\r\n25&amp;apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,651,,,676,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-4-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.97661667,-87.89578333,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A&amp;amp;B Rehabilitation\r\n25&amp;apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,651,,,676,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-5-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.97775,-87.89579722,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A&amp;B Rehabilitation\r\n25&apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,651,,,676,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-5-OE,2022-AGL-19-OE,Determined - No Hazard,No Hazard,2025-01-02,2025-01-02,2025-02-20,2026-08-20,39.92216389,-86.03076944,2C,Red lights and flags,,15003,Indianapolis,Marion,97,IN,INDIANAPOLIS METRO,6271,140.2,,This proposal will be used multiple different times over an indefinite period if possible  as cranes are needed to maintain the facility.  Our desire is to use this study intermittently as directed by the FAA.,This is a temporary crane location on the Roche Diagnostic Campus with the crane being located within a 185' radius of the listed coordinate.,New Construction,Temporary,0,18,2025-01-31,2026-07-31,,,CRANE$MOBILE,154,,180,825,979,,1005,HMH Contractors,"HMH Contractors, Inc.",643101692-647991801,
2025-AGL-6-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.97888333,-87.89581111,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A&amp;B Rehabilitation\r\n25&apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,654,,,679,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-6-OE,1992-AGL-2069-OE,Determined - No Hazard,No Hazard,2025-01-02,2025-01-02,2025-01-10,,42.09722222,-88.6825,4D,None,,GENOA HD - 16943946,Genoa,DeKalb,37,IL,CASA DE AERO PARK,37686,240.3,,Updating frequencies only for side mounted antenna on water tank. Maintain current M/L config. Emissions will adhere to parameters set by collaboration between FAA and telecom companies as reflected in FAA 5G C-Band compatibility evaluation process. Questions Charlton C,141 Prairie,Alteration,Permanent,,,,,,,WATER_SYSTEM,160,,160,840,1000,,1000,Network Regulatory,Cellco Partnership,643109129-643836244,"{\"frequencies\":[{\"band\":{\"value\":[806,824],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":1,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[824,849],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":2,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[851,866],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":3,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[869,894],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":4,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[896,901],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":5,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[901,902],\"uom\":\"MHz\"},\"erp\":{\"value\":7,\"uom\":\"W\"},\"standard\":6,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[930,931],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":7,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[931,932],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":8,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[932,932.5],\"uom\":\"MHz\"},\"erp\":{\"value\":17,\"uom\":\"dBW\"},\"standard\":9,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[935,940],\"uom\":\"MHz\"},\"erp\":{\"value\":1000,\"uom\":\"W\"},\"standard\":10,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[940,941],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":11,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1850,1910],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":12,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1930,1990],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":13,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2305,2310],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":14,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2345,2360],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":15,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[698,806],\"uom\":\"MHz\"},\"erp\":{\"value\":1000,\"uom\":\"W\"},\"standard\":16,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[6,7],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":76,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[10,11.7],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":77,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[17.7,19.7],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":78,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[21.2,23.6],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":79,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[806,901],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":80,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[929,932],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":81,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1670,1675],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":82,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1710,1755],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":83,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1850,1990],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":84,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1990,2025],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":85,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2110,2200],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":86,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2305,2360],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":87,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2496,2690],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":88,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[6,7],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":89,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[10,11.7],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":90,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[17.7,19.7],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":91,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[21.2,23.6],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":92,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[614,698],\"uom\":\"MHz\"},\"erp\":{\"value\":1000,\"uom\":\"W\"},\"standard\":93,\"purpose\":\"data_entry\"},{\"band\":{\"value\":[614,698],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":94,\"purpose\":\"data_entry\"},{\"band\":{\"value\":[3700,3980],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":false}]}"
2025-AGL-7-NRA,,Determined - No Hazard,To Proponent,2025-01-02,2025-01-02,2025-03-06,,41.97979722,-87.89573611,1A,,,,CHICAGO,Cook,31,IL,CHICAGO O'HARE INTL,0,,Y,"Taxiway A&amp;B Rehabilitation\r\n25&apos; General Construction Area",,New Construction,Temporary,0,12,2025-03-01,2026-03-01,,,CONSTRUCTION$VEHICLE,,,25,655,,,680,Anthony Lewandowski,Chicago Department of Aviation-Frank,,
2025-AGL-7-OE,2013-AGL-8179-OE,Determined - No Hazard,No Hazard,2025-01-02,2025-01-02,2025-01-10,,43.06994444,-84.37052778,4D,Dual-red and medium intensity,,306-Elsie MI (414177),Elsie,Clinton,37,MI,MILLERS LANDING,10921,210.7,,Add frequencies and request to maintain lighting as previously approved. 5G C-Band transmissions from this site will comply with the operational parameters agreed to in collab with the FAA as part of its 5G C-band compatibility evaluation process Request prior filed frequencies be on this DNH letter,"5611 N Meridian Rd\r\n48831-9474",Alteration,Permanent,,,,,,1285686,TOWER$ANTENNA,254,,254,727,981,,981,AMERICAN TOWER CORPORATION,American Towers LLC - (LG),643110342-643836557,"{\"frequencies\":[{\"band\":{\"value\":[806,824],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":1,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[824,849],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":2,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[851,866],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":3,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[869,894],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":4,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[896,901],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":5,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[901,902],\"uom\":\"MHz\"},\"erp\":{\"value\":7,\"uom\":\"W\"},\"standard\":6,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[930,931],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":7,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[931,932],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":8,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[932,932.5],\"uom\":\"MHz\"},\"erp\":{\"value\":17,\"uom\":\"dBW\"},\"standard\":9,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[935,940],\"uom\":\"MHz\"},\"erp\":{\"value\":1000,\"uom\":\"W\"},\"standard\":10,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[940,941],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":11,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1850,1910],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":12,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1930,1990],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":13,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2305,2310],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":14,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2345,2360],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":15,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[698,806],\"uom\":\"MHz\"},\"erp\":{\"value\":1000,\"uom\":\"W\"},\"standard\":16,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[6,7],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":76,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[10,11.7],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":77,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[17.7,19.7],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":78,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[21.2,23.6],\"uom\":\"GHz\"},\"erp\":{\"value\":42,\"uom\":\"dBW\"},\"standard\":79,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[806,901],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":80,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[929,932],\"uom\":\"MHz\"},\"erp\":{\"value\":3500,\"uom\":\"W\"},\"standard\":81,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1670,1675],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":82,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1710,1755],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":83,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1850,1990],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":84,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[1990,2025],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":85,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2110,2200],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":86,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2305,2360],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":87,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[2496,2690],\"uom\":\"MHz\"},\"erp\":{\"value\":500,\"uom\":\"W\"},\"standard\":88,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[6,7],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":89,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[10,11.7],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":90,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[17.7,19.7],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":91,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[21.2,23.6],\"uom\":\"GHz\"},\"erp\":{\"value\":55,\"uom\":\"dBW\"},\"standard\":92,\"purpose\":\"colo_void\"},{\"band\":{\"value\":[614,698],\"uom\":\"MHz\"},\"erp\":{\"value\":1000,\"uom\":\"W\"},\"standard\":93,\"purpose\":\"data_entry\"},{\"band\":{\"value\":[614,698],\"uom\":\"MHz\"},\"erp\":{\"value\":2000,\"uom\":\"W\"},\"standard\":94,\"purpose\":\"data_entry\"},{\"band\":{\"value\":[3700,3980],\"uom\":\"MHz\"},\"erp\":{\"value\":1640,\"uom\":\"W\"},\"standard\":false}]}"
